"id","lang","lang_key","lang_value","created_at","updated_at"
"1521","vn","Default Language","Ngôn ngữ mặc định","2021-06-01 07:08:15","2021-06-01 07:12:07"
"1522","vn","Save","Lưu","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1523","vn","Add New Language","Thêm ngôn ngữ mới","2021-06-01 07:08:15","2021-06-01 07:12:07"
"1524","vn","Language","Ngôn ngữ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1525","vn","Name","Tên","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1526","vn","Code","Mã","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1527","vn","RTL","RTL","2021-06-01 07:08:15","2021-06-01 07:08:15"
"1528","vn","Options","tùy chọn","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1529","vn","Translation","Dịch","2021-06-01 07:08:15","2021-06-01 07:12:07"
"1530","vn","Edit","Chỉnh sửa","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1531","vn","Delete","Xóa","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1532","vn","Delete Confirmation","Xác nhận xoá","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1533","vn","Are you sure to delete this?","Bạn có chắc chắn xóa cái này?","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1534","vn","Cancel","Huỷ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1535","vn","Something went wrong","Đã xảy ra lỗi","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1536","vn","Nothing selected","Không có gì được chọn","2021-06-01 07:08:15","2021-06-10 02:12:06"
"1537","vn","Nothing found","không tìm thấy thứ gì","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1538","vn","Choose file","Chọn tập tin","2021-06-01 07:08:15","2021-06-01 07:12:07"
"1539","vn","File selected","Tệp được chọn","2021-06-01 07:08:15","2021-06-10 02:12:06"
"1540","vn","Files selected","Tệp được chọn","2021-06-01 07:08:15","2021-06-10 02:12:06"
"1541","vn","Add more files","Thêm nhiều tập tin","2021-06-01 07:08:15","2021-06-10 02:12:06"
"1542","vn","Adding more files","Thêm các tệp khác","2021-06-01 07:08:15","2021-06-10 02:12:06"
"1543","vn","Drop files here, paste or","Thả tệp vào đây, hoặc dán","2021-06-01 07:08:15","2021-06-10 02:13:01"
"1544","vn","Browse","Duyệt","2021-06-01 07:08:15","2021-06-01 07:12:05"
"1545","vn","Upload complete","Tải lên hoàn tất","2021-06-01 07:08:15","2021-06-10 02:13:01"
"1546","vn","Upload paused","Tải lên bị tạm dừng","2021-06-01 07:08:15","2021-06-10 02:13:01"
"1547","vn","Resume upload","Tiếp tục tải lên","2021-06-01 07:08:15","2021-06-10 02:13:01"
"1548","vn","Pause upload","Tạm dừng tải lên","2021-06-01 07:08:15","2021-06-10 02:17:08"
"1549","vn","Retry upload","Thử tải lên lại","2021-06-01 07:08:15","2021-06-10 02:17:08"
"1550","vn","Cancel upload","Hủy tải lên","2021-06-01 07:08:15","2021-06-10 02:17:08"
"1551","vn","Uploading","Đang tải lên","2021-06-01 07:08:15","2021-06-10 02:17:08"
"1552","vn","Processing","Xử lý","2021-06-01 07:08:15","2021-06-10 02:17:08"
"1553","vn","Complete","Hoàn thành","2021-06-01 07:08:15","2021-06-10 02:17:08"
"1554","vn","File","Tập tin","2021-06-01 07:08:15","2021-06-01 07:12:07"
"1555","vn","Files","Tập tin","2021-06-01 07:08:15","2021-06-10 02:17:08"
"1556","vn","Search in menu","Tìm kiếm trong menu","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1557","vn","Dashboard","Bảng điều khiển","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1558","vn","Products","Các sản phẩm","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1559","vn","Add New product","Thêm sản phẩm mới","2021-06-01 07:08:15","2021-06-01 07:12:08"
